"Country","year","sexRatio"
"Latvia","1950",76.166
"Least developed countries","1950",102.062
"Lebanon","1950",101.323
"Lesotho","1950",88.331
"Less developed regions","1950",104.826
"Less developed regions, excluding China","1950",103.325
"Less developed regions, excluding least developed countries","1950",105.197
"Liberia","1950",98.005
"Libya","1950",106.521
"Lithuania","1950",82.162
"Luxembourg","1950",100.001
"Madagascar","1950",105.87
"Malawi","1950",93.18
"Malaysia","1950",106.026
"Maldives","1950",116.969
"Mali","1950",104.974
"Malta","1950",97.47
"Martinique","1950",91.375
"Mauritania","1950",96.752
"Mauritius","1950",99.192
"Mayotte","1950",119.658
"Melanesia","1950",111.519
"Mexico","1950",98.922
"Micronesia","1950",135.107
"Micronesia, Fed. Sts.","1950",106.119
"Middle Africa","1950",92.558
"Mongolia","1950",95.944
"Montenegro","1950",91.02
"More developed regions","1950",91.012
"Morocco","1950",100.195
"Mozambique","1950",95.601
"Myanmar","1950",98.335
"Namibia","1950",98.65
"Nepal","1950",111.342
"Netherlands","1950",99.369
"Netherlands Antilles","1950",93.787
"New Caledonia","1950",111.229
"New Zealand","1950",101.054
"Nicaragua","1950",98.896
"Niger","1950",88.446
"Nigeria","1950",96.223
"Northern Africa","1950",100.227
"NORTHERN AMERICA","1950",100.055
"Northern Europe","1950",94.117
"Norway","1950",98.239
"West Bank and Gaza","1950",107.877
"OCEANIA","1950",103.684
"Oman","1950",103.084
"Pakistan","1950",124.534
"Panama","1950",105.053
"Papua New Guinea","1950",111.391
"Paraguay","1950",96.886
"Peru","1950",101.37
"Philippines","1950",98.913
"Poland","1950",91.042
"Polynesia","1950",104.947
"Portugal","1950",92.687
"Puerto Rico","1950",100.942
"Qatar","1950",102.774
"Korea, Rep.","1950",99.225
"Moldova","1950",87.648
"Reunion","1950",92.063
"Romania","1950",93.167
"Russia","1950",75.187
"Rwanda","1950",97.755
"Saint Lucia","1950",97.154
"Saint Vincent and the Grenadines","1950",88.849
"Samoa","1950",106.504
"Sao Tome and Principe","1950",124.888
"Saudi Arabia","1950",103.061
"Senegal","1950",100.107
"Serbia","1950",94.435
"Sierra Leone","1950",95.987
"Singapore","1950",107.408
"Slovak Republic","1950",94.352
"Slovenia","1950",91.586
"Solomon Islands","1950",122.817
"Somalia","1950",98.562
"South Africa","1950",99.243
"South America","1950",100.093
"South-Central Asia","1950",109.442
"South-Eastern Asia","1950",99.156
"Southern Africa","1950",98.454
"Southern Europe","1950",94.197
"Spain","1950",93.393
"Sri Lanka","1950",120.258
"Sub- Saharan Africa","1950",97.305
"Sudan","1950",99.453
"Suriname","1950",99.073
"Swaziland","1950",94.62
"Sweden","1950",99.205
"Switzerland","1950",93.014
"Syria","1950",108.071
"Tajikistan","1950",93.781
"Macedonia, FYR","1950",100.473
"Thailand","1950",100.651
"Timor-Leste","1950",102.523
"Togo","1950",97.185
"Tonga","1950",103.263
"Trinidad and Tobago","1950",99.373
"Tunisia","1950",99.322
"Turkey","1950",99.628
"Turkmenistan","1950",96.148
"Uganda","1950",99.488
"Ukraine","1950",75.198
"United Arab Emirates","1950",102.765
"United Kingdom","1950",94.37
"Tanzania","1950",95.229
"United States","1950",99.807
"Virgin Islands (U.S.)","1950",96.243
"Uruguay","1950",102.356
"Uzbekistan","1950",93.84
"Vanuatu","1950",109.4
"Venezuela","1950",102.582
"Vietnam","1950",98.931
"Western Africa","1950",97.918
"Western Asia","1950",99.251
"Western Europe","1950",89.472
"Western Sahara","1950",98.043
"WORLD","1950",100.178
"Yemen, Rep.","1950",101.984
"Zambia","1950",99.147
"Zimbabwe","1950",99.441
"Afghanistan","1955",107.529
"AFRICA","1955",98.033
"Albania","1955",101.216
"Algeria","1955",102.911
"Angola","1955",96.108
"Argentina","1955",103.965
"Armenia","1955",91.516
"Aruba","1955",94.758
"ASIA","1955",105.61
"Australia","1955",102.498
"Australia/New Zealand","1955",102.275
"Austria","1955",86.772
"Azerbaijan","1955",89.995
"Bahamas","1955",87.336
"Bahrain","1955",116.144
"Bangladesh","1955",114.021
"Barbados","1955",84.195
"Belarus","1955",80.625
"Belgium","1955",96.741
"Belize","1955",97.18
"Benin","1955",88.201
"Bhutan","1955",104.721
"Bolivia","1955",98.688
"Bosnia and Herzegovina","1955",94.394
"Botswana","1955",93.992
"Brazil","1955",99.213
"Brunei","1955",106.501
"Bulgaria","1955",99.441
"Burkina Faso","1955",107.41
"Burundi","1955",92.064
"Cambodia","1955",99.996
"Cameroon","1955",96.411
"Canada","1955",102.836
"Cape Verde","1955",84.726
"Caribbean","1955",100.462
"Central African Rep.","1955",96.94
"Central America","1955",99.625
"Chad","1955",96.987
"Channel Islands","1955",92.818
"Chile","1955",97.991
"China","1955",106.94
"Hong Kong, China","1955",105.598
"Macao, China","1955",104.866
"Colombia","1955",99.152
"Comoros","1955",99.041
"Congo, Rep.","1955",97.115
"Costa Rica","1955",103.859
"Cote d'Ivoire","1955",103.186
"Croatia","1955",91.129
"Cuba","1955",105.552
"Cyprus","1955",95.981
"Czech Rep.","1955",94.56
"Korea, Dem. Rep.","1955",85.989
"Congo, Dem. Rep.","1955",89.811
"Denmark","1955",98.525
"Djibouti","1955",98.277
"Dominican Rep.","1955",103.927
"Eastern Africa","1955",97.957
"Eastern Asia","1955",105.058
"Eastern Europe","1955",82.968
"Ecuador","1955",99.431
"Egypt","1955",99.435
"El Salvador","1955",97.474
"Equatorial Guinea","1955",96.262
"Eritrea","1955",98.322
"Estonia","1955",76.947
"Ethiopia","1955",98.204
"EUROPE","1955",88.399
"Fiji","1955",103.636
"Finland","1955",92.064
"France","1955",93.349
"French Guiana","1955",105.397
"French Polynesia","1955",105.259
"Gabon","1955",95.056
"Gambia","1955",95.298
"Georgia","1955",86.307
"Germany","1955",86.279
"Ghana","1955",102.068
"Greece","1955",95.389
"Grenada","1955",85.299
"Guadeloupe","1955",95.04
"Guam","1955",171.517
"Guatemala","1955",102.469
"Guinea","1955",99.031
"Guinea-Bissau","1955",97.718
"Guyana","1955",95.182
"Haiti","1955",95.865
"Honduras","1955",101.387
"Hungary","1955",93.406
"Iceland","1955",102.567
"India","1955",108.386
"Indonesia","1955",98.891
"Iran","1955",103.265
"Iraq","1955",100.16
"Ireland","1955",102.005
"Israel","1955",103.324
"Italy","1955",94.6
"Jamaica","1955",94.733
"Japan","1955",96.589
"Jordan","1955",107.78
"Kazakhstan","1955",93.095
"Kenya","1955",101.112
"Kuwait","1955",150.492
"Kyrgyzstan","1955",89.853
"Laos","1955",96.759
"LATIN AMERICA AND THE CARIBBEAN","1955",100.071
"Latvia","1955",78.186
"Least developed countries","1955",101.72
"Lebanon","1955",101.326
"Lesotho","1955",88.231
"Less developed regions","1955",104.441
"Less developed regions, excluding China","1955",103.309
"Less developed regions, excluding least developed countries","1955",104.806
"Liberia","1955",97.541
"Libya","1955",104.341
"Lithuania","1955",83.97
"Luxembourg","1955",100.657
"Madagascar","1955",105.13
"Malawi","1955",92.609
"Malaysia","1955",103.99
"Maldives","1955",115.385
"Mali","1955",104.249
"Malta","1955",93.827
"Martinique","1955",92.327
"Mauritania","1955",97.959
"Mauritius","1955",99.18
"Mayotte","1955",117.923
"Melanesia","1955",108.605
"Mexico","1955",99.119
"Micronesia","1955",124.017
"Micronesia, Fed. Sts.","1955",106.143
"Middle Africa","1955",93.315
"Mongolia","1955",96.818
"Montenegro","1955",92.642
"More developed regions","1955",91.587
"Morocco","1955",100.055
"Mozambique","1955",95.535
"Myanmar","1955",98.158
"Namibia","1955",97.726
"Nepal","1955",110.265
"Netherlands","1955",99.277
"Netherlands Antilles","1955",95.141
"New Caledonia","1955",111.23
"New Zealand","1955",101.319
"Nicaragua","1955",99.132
"Niger","1955",91.541
"Nigeria","1955",96.619
"Northern Africa","1955",100.146
"NORTHERN AMERICA","1955",98.9
"Northern Europe","1955",93.68
"Norway","1955",99.013
"West Bank and Gaza","1955",107.779
"OCEANIA","1955",103.615
"Oman","1955",100.125
"Pakistan","1955",121.913
"Panama","1955",104.608
"Papua New Guinea","1955",108.932
"Paraguay","1955",96.616
"Peru","1955",101.493
"Philippines","1955",99.731
"Poland","1955",92.69
"Polynesia","1955",104.164
"Portugal","1955",92.704
"Puerto Rico","1955",99.291
"Qatar","1955",120.709
"Korea, Rep.","1955",99.514
"Moldova","1955",87.614
"Reunion","1955",93.877
"Romania","1955",94.375
"Russia","1955",78.027
"Rwanda","1955",97.583
"Saint Lucia","1955",100.007
"Saint Vincent and the Grenadines","1955",88.602
"Samoa","1955",104.35
"Sao Tome and Principe","1955",124.894
"Saudi Arabia","1955",102.913
"Senegal","1955",101.005
"Serbia","1955",95.779
"Sierra Leone","1955",95.635
"Singapore","1955",110.967
"Slovak Republic","1955",94.83
"Slovenia","1955",91.527
"Solomon Islands","1955",118.352
"Somalia","1955",98.141
"South Africa","1955",99.736
"South America","1955",100.165
"South-Central Asia","1955",109.196
"South-Eastern Asia","1955",99.449
"Southern Africa","1955",98.863
"Southern Europe","1955",94.423
"Spain","1955",94.069
"Sri Lanka","1955",114.634
"Sub- Saharan Africa","1955",97.498
"Sudan","1955",99.486
"Suriname","1955",101.61
"Swaziland","1955",93.911
"Sweden","1955",99.341
"Switzerland","1955",93.499
"Syria","1955",105.864
"Tajikistan","1955",93.764
"Macedonia, FYR","1955",101.368
"Thailand","1955",100.708
"Timor-Leste","1955",103.033
"Togo","1955",96.835
"Tonga","1955",104.067
"Trinidad and Tobago","1955",99.722
"Tunisia","1955",98.56
"Turkey","1955",100.75
"Turkmenistan","1955",96.032
"Uganda","1955",99.052
"Ukraine","1955",77.613
"United Arab Emirates","1955",102.583
"United Kingdom","1955",93.401
"Tanzania","1955",95.626
"United States","1955",98.546
"Virgin Islands (U.S.)","1955",98.178
"Uruguay","1955",101.169
"Uzbekistan","1955",92.901
"Vanuatu","1955",107.798
"Venezuela","1955",103.416
"Vietnam","1955",99.129
"Western Africa","1955",98.109
"Western Asia","1955",99.766
"Western Europe","1955",90.179
"Western Sahara","1955",109.374
"WORLD","1955",100.247
"Yemen, Rep.","1955",102.059
"Zambia","1955",98.829
"Zimbabwe","1955",99.452
"Afghanistan","1960",107.69
"AFRICA","1960",98.231
"Albania","1960",101.466
"Algeria","1960",101.342
"Angola","1960",96.095
"Argentina","1960",102.446
"Armenia","1960",93.245
"Aruba","1960",95.584
"ASIA","1960",104.675
"Australia","1960",102.215
"Australia/New Zealand","1960",101.989
"Austria","1960",87.189
"Azerbaijan","1960",91.773
"Bahamas","1960",91.659
"Bahrain","1960",116.506
"Bangladesh","1960",112.354
"Barbados","1960",81.196
"Belarus","1960",82.329
"Belgium","1960",96.274
"Belize","1960",97.428
"Benin","1960",89.181
"Bhutan","1960",104.297
"Bolivia","1960",98.104
"Bosnia and Herzegovina","1960",95.322
"Botswana","1960",91.773
"Brazil","1960",99.397
"Brunei","1960",106.566
"Bulgaria","1960",99.67
"Burkina Faso","1960",105.033
"Burundi","1960",92.313
"Cambodia","1960",100.033
"Cameroon","1960",96.719
"Canada","1960",102.751
"Cape Verde","1960",86.458
"Caribbean","1960",99.85
"Central African Rep.","1960",96.762
"Central America","1960",99.786
"Chad","1960",96.75
"Channel Islands","1960",93.306
"Chile","1960",97.802
"China","1960",104.382
"Hong Kong, China","1960",105.404
"Macao, China","1960",98.421
"Colombia","1960",99.166
"Comoros","1960",99.186
"Congo, Rep.","1960",97.534
"Costa Rica","1960",103.6
"Cote d'Ivoire","1960",103.839
"Croatia","1960",91.378
"Cuba","1960",104.455
"Cyprus","1960",96.704
"Czech Rep.","1960",94.195
"Korea, Dem. Rep.","1960",88.635
"Congo, Dem. Rep.","1960",91.316
"Denmark","1960",98.397
"Djibouti","1960",98.197
"Dominican Rep.","1960",103.679
"Eastern Africa","1960",97.926
"Eastern Asia","1960",103.039
"Eastern Europe","1960",84.726
"Ecuador","1960",99.969
"Egypt","1960",99.92
"El Salvador","1960",97.599
"Equatorial Guinea","1960",96.008
"Eritrea","1960",98.439
"Estonia","1960",78.173
"Ethiopia","1960",98.253
"EUROPE","1960",89.229
"Fiji","1960",106.283
"Finland","1960",92.944
"France","1960",94.162
"French Guiana","1960",103.293
"French Polynesia","1960",105.257
"Gabon","1960",95.136
"Gambia","1960",95.811
"Georgia","1960",87.12
"Germany","1960",86.95
"Ghana","1960",102.003
"Greece","1960",95.332
"Grenada","1960",86.582
"Guadeloupe","1960",96.358
"Guam","1960",140.491
"Guatemala","1960",102.64
"Guinea","1960",99.01
"Guinea-Bissau","1960",97.573
"Guyana","1960",95.697
"Haiti","1960",96.525
"Honduras","1960",101.288
"Hungary","1960",93.189
"Iceland","1960",102.299
"India","1960",108.722
"Indonesia","1960",99.294
"Iran","1960",103.502
"Iraq","1960",101.373
"Ireland","1960",100.993
"Israel","1960",103.043
"Italy","1960",94.118
"Jamaica","1960",92.555
"Japan","1960",96.513
"Jordan","1960",107.715
"Kazakhstan","1960",92.856
"Kenya","1960",100.616
"Kuwait","1960",166.772
"Kyrgyzstan","1960",90.254
"Laos","1960",96.785
"LATIN AMERICA AND THE CARIBBEAN","1960",99.962
"Latvia","1960",78.251
"Least developed countries","1960",101.402
"Lebanon","1960",101.168
"Lesotho","1960",87.035
"Less developed regions","1960",103.658
"Less developed regions, excluding China","1960",103.337
"Less developed regions, excluding least developed countries","1960",103.962
"Liberia","1960",97.289
"Libya","1960",105.327
"Lithuania","1960",84.857
"Luxembourg","1960",97.483
"Madagascar","1960",104.292
"Malawi","1960",92.457
"Malaysia","1960",103.368
"Maldives","1960",114.128
"Mali","1960",103.54
"Malta","1960",93.789
"Martinique","1960",96.105
"Mauritania","1960",98.942
"Mauritius","1960",99.416
"Mayotte","1960",116.309
"Melanesia","1960",107.677
"Mexico","1960",99.317
"Micronesia","1960",114.571
"Micronesia, Fed. Sts.","1960",106.214
"Middle Africa","1960",94.045
"Mongolia","1960",97.659
"Montenegro","1960",94.282
"More developed regions","1960",92.105
"Morocco","1960",99.966
"Mozambique","1960",95.538
"Myanmar","1960",98.083
"Namibia","1960",97.366
"Nepal","1960",108.501
"Netherlands","1960",99.202
"Netherlands Antilles","1960",96.955
"New Caledonia","1960",111.419
"New Zealand","1960",101.017
"Nicaragua","1960",99.582
"Niger","1960",93.387
"Nigeria","1960",96.98
"Northern Africa","1960",100.335
"NORTHERN AMERICA","1960",98.394
"Northern Europe","1960",93.639
"Norway","1960",99.277
"West Bank and Gaza","1960",107.715
"OCEANIA","1960",103.116
"Oman","1960",97.994
"Pakistan","1960",119.346
"Panama","1960",104.25
"Papua New Guinea","1960",107.348
"Paraguay","1960",97.031
"Peru","1960",101.553
"Philippines","1960",100.452
"Poland","1960",93.716
"Polynesia","1960",103.578
"Portugal","1960",91.762
"Puerto Rico","1960",97.87
"Qatar","1960",132.078
"Korea, Rep.","1960",100.487
"Moldova","1960",87.904
"Reunion","1960",95.047
"Romania","1960",95.279
"Russia","1960",80.489
"Rwanda","1960",97.511
"Saint Lucia","1960",92.494
"Saint Vincent and the Grenadines","1960",88.251
"Samoa","1960",102.906
"Sao Tome and Principe","1960",125.403
"Saudi Arabia","1960",102.715
"Senegal","1960",101.842
"Serbia","1960",96.728
"Sierra Leone","1960",95.44
"Singapore","1960",111.357
"Slovak Republic","1960",95.367
"Slovenia","1960",91.579
"Solomon Islands","1960",116.664
"Somalia","1960",97.882
"South Africa","1960",99.977
"South America","1960",100.04
"South-Central Asia","1960",108.997
"South-Eastern Asia","1960",99.715
"Southern Africa","1960",98.965
"Southern Europe","1960",94.316
"Spain","1960",94.25
"Sri Lanka","1960",110.761
"Sub- Saharan Africa","1960",97.688
"Sudan","1960",99.592
"Suriname","1960",100
"Swaziland","1960",93.835
"Sweden","1960",99.52
"Switzerland","1960",93.972
"Syria","1960",104.477
"Tajikistan","1960",95.266
"Macedonia, FYR","1960",102.038
"Thailand","1960",100.716
"Timor-Leste","1960",103.125
"Togo","1960",96.706
"Tonga","1960",104.652
"Trinidad and Tobago","1960",98.821
"Tunisia","1960",101.938
"Turkey","1960",103.042
"Turkmenistan","1960",96.305
"Uganda","1960",98.846
"Ukraine","1960",79.624
"United Arab Emirates","1960",102.418
"United Kingdom","1960",93.248
"Tanzania","1960",96.026
"United States","1960",97.985
"Virgin Islands (U.S.)","1960",97.961
"Uruguay","1960",100.147
"Uzbekistan","1960",93.629
"Vanuatu","1960",106.63
"Venezuela","1960",103.933
"Vietnam","1960",99.176
"Western Africa","1960",98.317
"Western Asia","1960",101.052
"Western Europe","1960",90.79
"Western Sahara","1960",115.915
"WORLD","1960",100.019
"Yemen, Rep.","1960",101.96
"Zambia","1960",98.687
"Zimbabwe","1960",99.472
"Afghanistan","1965",107.792
"AFRICA","1965",98.376
"Albania","1965",101.783
"Algeria","1965",100.961
"Angola","1965",96.181
"Argentina","1965",101.022
"Armenia","1965",94.644
"Aruba","1965",95.952
"ASIA","1965",104.959
"Australia","1965",101.54
"Australia/New Zealand","1965",101.367
"Austria","1965",88.028
"Azerbaijan","1965",93.35
"Bahamas","1965",95.641
"Bahrain","1965",101.088
"Bangladesh","1965",110.752
"Barbados","1965",85.166
"Belarus","1965",83.843
"Belgium","1965",96.4
"Belize","1965",98.396
"Benin","1965",90.313
"Bhutan","1965",103.845
"Bolivia","1965",97.66
"Bosnia and Herzegovina","1965",96.597
"Botswana","1965",91.199
"Brazil","1965",99.588
"Brunei","1965",106.649
"Bulgaria","1965",99.903
"Burkina Faso","1965",102.665
"Burundi","1965",92.542
"Cambodia","1965",100.111
"Cameroon","1965",97.083
"Canada","1965",101.165
"Cape Verde","1965",88.611
"Caribbean","1965",99.499
"Central African Rep.","1965",96.667
"Central America","1965",99.924
"Chad","1965",96.658
"Channel Islands","1965",93.675
"Chile","1965",97.625
"China","1965",105.126
"Hong Kong, China","1965",103.03
"Macao, China","1965",101.889
"Colombia","1965",99.202
"Comoros","1965",99.417
"Congo, Rep.","1965",97.882
"Costa Rica","1965",103.373
"Cote d'Ivoire","1965",105.315
"Croatia","1965",91.943
"Cuba","1965",103.651
"Cyprus","1965",96.392
"Czech Rep.","1965",94.108
"Korea, Dem. Rep.","1965",90.812
"Congo, Dem. Rep.","1965",92.639
"Denmark","1965",98.333
"Djibouti","1965",98.285
"Dominican Rep.","1965",103.294
"Eastern Africa","1965",97.91
"Eastern Asia","1965",103.725
"Eastern Europe","1965",86.123
"Ecuador","1965",100.435
"Egypt","1965",100.328
"El Salvador","1965",98.347
"Equatorial Guinea","1965",95.924
"Eritrea","1965",98.492
"Estonia","1965",80.031
"Ethiopia","1965",98.28
"EUROPE","1965",90.285
"Fiji","1965",104.154
"Finland","1965",93.308
"France","1965",94.808
"French Guiana","1965",111.611
"French Polynesia","1965",105.377
"Gabon","1965",95.285
"Gambia","1965",96.234
"Georgia","1965",88.012
"Germany","1965",88.963
"Ghana","1965",101.955
"Greece","1965",94.651
"Grenada","1965",88.56
"Guadeloupe","1965",96.789
"Guam","1965",132.77
"Guatemala","1965",102.636
"Guinea","1965",99.327
"Guinea-Bissau","1965",97.506
"Guyana","1965",99.505
"Haiti","1965",96.956
"Honduras","1965",101.11
"Hungary","1965",93.443
"Iceland","1965",102.107
"India","1965",108.914
"Indonesia","1965",99.677
"Iran","1965",103.79
"Iraq","1965",102.653
"Ireland","1965",101.119
"Israel","1965",102.343
"Italy","1965",94.234
"Jamaica","1965",91.479
"Japan","1965",96.449
"Jordan","1965",106.603
"Kazakhstan","1965",92.919
"Kenya","1965",99.978
"Kuwait","1965",157.041
"Kyrgyzstan","1965",90.988
"Laos","1965",97.08
"LATIN AMERICA AND THE CARIBBEAN","1965",99.883
"Latvia","1965",82.195
"Least developed countries","1965",101.111
"Lebanon","1965",101.49
"Lesotho","1965",85.439
"Less developed regions","1965",103.853
"Less developed regions, excluding China","1965",103.306
"Less developed regions, excluding least developed countries","1965",104.223
"Liberia","1965",97.16
"Libya","1965",107.836
"Lithuania","1965",87.178
"Luxembourg","1965",96.674
"Madagascar","1965",103.519
"Malawi","1965",92.512
"Malaysia","1965",102.896
"Maldives","1965",113.112
"Mali","1965",102.809
"Malta","1965",93.037
"Martinique","1965",93.056
"Mauritania","1965",99.674
"Mauritius","1965",100.033
"Mayotte","1965",114.541
"Melanesia","1965",105.767
"Mexico","1965",99.453
"Micronesia","1965",112.011
"Micronesia, Fed. Sts.","1965",106.308
"Middle Africa","1965",94.721
"Mongolia","1965",98.468
"Montenegro","1965",95.119
"More developed regions","1965",92.684
"Morocco","1965",99.925
"Mozambique","1965",95.607
"Myanmar","1965",97.976
"Namibia","1965",97.295
"Nepal","1965",107.117
"Netherlands","1965",99.578
"Netherlands Antilles","1965",97.48
"New Caledonia","1965",110.822
"New Zealand","1965",100.611
"Nicaragua","1965",99.884
"Niger","1965",95.345
"Nigeria","1965",97.314
"Northern Africa","1965",100.658
"NORTHERN AMERICA","1965",97.65
"Northern Europe","1965",94.523
"Norway","1965",99.304
"West Bank and Gaza","1965",106.602
"OCEANIA","1965",102.269
"Oman","1965",96.585
"Pakistan","1965",116.922
"Panama","1965",104.287
"Papua New Guinea","1965",105.479
"Paraguay","1965",98.144
"Peru","1965",101.585
"Philippines","1965",100.975
"Poland","1965",94.312
"Polynesia","1965",103.236
"Portugal","1965",91.024
"Puerto Rico","1965",96.053
"Qatar","1965",159.115
"Korea, Rep.","1965",101.019
"Moldova","1965",87.976
"Reunion","1965",95.32
"Romania","1965",95.923
"Russia","1965",82.404
"Rwanda","1965",97.501
"Saint Lucia","1965",92.444
"Saint Vincent and the Grenadines","1965",88.069
"Samoa","1965",102.202
"Sao Tome and Principe","1965",112.274
"Saudi Arabia","1965",103.995
"Senegal","1965",102.432
"Serbia","1965",97.682
"Sierra Leone","1965",95.174
"Singapore","1965",106.468
"Slovak Republic","1965",95.899
"Slovenia","1965",91.891
"Solomon Islands","1965",113.031
"Somalia","1965",97.732
"South Africa","1965",98.819
"South America","1965",99.922
"South-Central Asia","1965",108.746
"South-Eastern Asia","1965",99.892
"Southern Africa","1965",97.835
"Southern Europe","1965",94.396
"Spain","1965",94.177
"Sri Lanka","1965",108.02
"Sub- Saharan Africa","1965",97.783
"Sudan","1965",99.75
"Suriname","1965",99.278
"Swaziland","1965",91.433
"Sweden","1965",99.742
"Switzerland","1965",94.968
"Syria","1965",103.509
"Tajikistan","1965",96.382
"Macedonia, FYR","1965",102.626
"Thailand","1965",100.7
"Timor-Leste","1965",103.412
"Togo","1965",96.741
"Tonga","1965",105.084
"Trinidad and Tobago","1965",99.42
"Tunisia","1965",104.298
"Turkey","1965",104.21
"Turkmenistan","1965",96.701
"Uganda","1965",98.774
"Ukraine","1965",81.38
"United Arab Emirates","1965",138.436
"United Kingdom","1965",94.232
"Tanzania","1965",96.395
"United States","1965",97.309
"Virgin Islands (U.S.)","1965",99.666
"Uruguay","1965",99.445
"Uzbekistan","1965",94.409
"Vanuatu","1965",105.781
"Venezuela","1965",103.226
"Vietnam","1965",99.125
"Western Africa","1965",98.566
"Western Asia","1965",101.968
"Western Europe","1965",92.124
"Western Sahara","1965",119.292
"WORLD","1965",100.485
"Yemen, Rep.","1965",101.813
"Zambia","1965",98.698
"Zimbabwe","1965",99.501
"Afghanistan","1970",107.845
"AFRICA","1970",98.309
"Albania","1970",102.079
"Algeria","1970",95.679
"Angola","1970",96.328
"Argentina","1970",99.742
"Armenia","1970",95.504
"Aruba","1970",95.992
"ASIA","1970",104.992
"Australia","1970",101.565
"Australia/New Zealand","1970",101.263
"Austria","1970",89.083
"Azerbaijan","1970",94.332
"Bahamas","1970",98.253
"Bahrain","1970",115.655
"Bangladesh","1970",109.147
"Barbados","1970",88.547
"Belarus","1970",84.911
"Belgium","1970",95.956
"Belize","1970",99.251
"Benin","1970",91.522
"Bhutan","1970",103.323
"Bolivia","1970",97.339
"Bosnia and Herzegovina","1970",95.973
"Botswana","1970",92.297
"Brazil","1970",99.69
"Brunei","1970",106.858
"Bulgaria","1970",99.963
"Burkina Faso","1970",100.872
"Burundi","1970",92.732
"Cambodia","1970",100.237
"Cameroon","1970",97.471
"Canada","1970",100.99
"Cape Verde","1970",90.823
"Caribbean","1970",99.862
"Central African Rep.","1970",96.625
"Central America","1970",100.031
"Chad","1970",96.681
"Channel Islands","1970",94.006
"Chile","1970",97.427
"China","1970",105.428
"Hong Kong, China","1970",103.479
"Macao, China","1970",105.707
"Colombia","1970",99.235
"Comoros","1970",99.697
"Congo, Rep.","1970",98.193
"Costa Rica","1970",103.089
"Cote d'Ivoire","1970",106.473
"Croatia","1970",93.511
"Cuba","1970",103.432
"Cyprus","1970",97.713
"Czech Rep.","1970",93.929
"Korea, Dem. Rep.","1970",92.902
"Congo, Dem. Rep.","1970",93.765
"Denmark","1970",98.532
"Djibouti","1970",98.438
"Dominican Rep.","1970",103.019
"Eastern Africa","1970",97.927
